Date,Notes,Zip_76574,Zip_78605,Zip_78610,Zip_78612,Zip_78613,Zip_78615,Zip_78616,Zip_78617,Zip_78620,Zip_78621,Zip_78626,Zip_78628,Zip_78634,Zip_78640,Zip_78641,Zip_78642,Zip_78644,Zip_78645,Zip_78652,Zip_78653,Zip_78654,Zip_78660,Zip_78663,Zip_78664,Zip_78665,Zip_78669,Zip_78681,Zip_78701,Zip_78702,Zip_78703,Zip_78704,Zip_78705,Zip_78712,Zip_78717,Zip_78719,Zip_78721,Zip_78722,Zip_78723,Zip_78724,Zip_78725,Zip_78726,Zip_78727,Zip_78728,Zip_78729,Zip_78730,Zip_78731,Zip_78732,Zip_78733,Zip_78734,Zip_78735,Zip_78736,Zip_78737,Zip_78738,Zip_78739,Zip_78741,Zip_78742,Zip_78744,Zip_78745,Zip_78746,Zip_78747,Zip_78748,Zip_78749,Zip_78750,Zip_78751,Zip_78752,Zip_78753,Zip_78754,Zip_78756,Zip_78757,Zip_78758,Zip_78759,FID
2020/03/26 22:00:00+00,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,4,11,9,0,0,0,0,1,2,3,0,0,0,1,1,1,0,9,0,3,2,2,0,0,0,1,5,2,8,3,6,8,4,2,2,3,2,3,1,2,5,4,5,1
2020/03/27 22:00:00+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,6,0,0,0,1,0,9,7,12,8,1,0,1,0,1,3,3,0,0,0,2,1,3,0,11,0,3,2,3,0,2,5,3,9,0,3,6,10,4,3,2,2,4,2,3,2,2,8,4,5,2
2020/03/28 22:00:00+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2,0,8,0,0,0,1,0,8,8,12,8,2,0,1,0,1,3,3,0,0,0,2,2,3,0,13,0,3,2,3,0,2,5,3,10,0,4,5,11,5,7,2,3,4,2,3,2,2,8,5,6,3
2020/03/29 22:00:00+00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,13,11,2,0,1,0,1,3,3,0,0,0,3,2,3,0,13,0,4,2,3,0,2,7,3,11,0,5,5,14,5,7,2,3,5,3,4,2,2,8,5,6,4
2020/03/30 22:00:00+00,,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,9,0,0,1,1,0,9,8,14,13,3,0,2,0,1,3,3,0,0,0,2,2,2,0,14,0,4,2,3,0,2,7,4,10,0,5,6,14,6,7,2,3,5,3,4,1,2,7,5,6,5
2020/03/31 22:00:00+00,,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,2,0,13,0,0,0,1,0,12,9,15,13,10,0,1,0,1,3,4,1,1,0,3,2,3,0,16,0,4,2,3,0,2,8,4,11,0,8,6,15,7,11,3,3,5,4,4,2,2,10,6,6,6
2020/04/01 22:00:00+00,,0,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,2,0,12,0,0,0,1,0,13,10,16,17,31,0,0,2,1,3,5,2,1,0,3,2,3,1,16,0,4,4,4,0,2,8,4,13,0,10,7,18,7,18,3,3,7,4,5,2,2,10,10,7,7
2020/04/02 22:00:00+00,,0,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,4,0,15,0,1,0,1,0,13,12,18,20,40,0,3,0,2,3,5,2,2,1,4,2,4,1,17,1,4,4,4,0,2,9,5,13,0,10,10,19,7,20,3,4,7,6,6,2,2,10,14,7,8
2020/04/03 22:00:00+00,,0,0,1,0,2,0,0,4,1,1,0,0,0,1,1,0,0,0,1,9,0,20,0,2,0,1,0,15,11,21,25,43,0,4,0,2,3,7,4,3,1,4,2,3,1,19,3,4,5,5,1,3,9,5,19,0,20,11,22,11,25,6,6,10,6,7,3,2,10,16,9,9
2020/04/04 22:00:00+00,,0,1,2,1,5,0,0,21,1,2,1,0,2,3,1,0,0,3,1,16,0,54,0,4,0,4,0,41,14,36,55,55,0,5,1,7,5,15,20,9,4,9,15,6,2,22,6,8,11,6,2,6,14,7,67,1,63,25,35,27,74,11,10,15,43,27,4,4,18,44,17,10
2020/04/05 22:00:00+00,,0,0,1,0,2,0,0,7,1,1,0,0,0,1,1,0,0,0,1,8,0,23,0,3,0,1,0,12,13,23,27,50,0,4,0,2,4,8,5,3,1,4,2,4,1,18,4,5,5,6,1,2,11,5,21,0,24,13,29,13,26,6,6,11,7,13,3,2,11,20,11,11
2020/04/06 22:00:00+00,,0,0,1,0,2,0,0,8,1,1,0,0,1,2,1,0,0,0,1,9,0,25,0,3,0,1,0,13,13,23,27,51,0,4,0,2,4,8,5,4,1,4,2,4,1,19,4,5,5,7,1,2,11,5,24,0,24,15,28,15,27,6,6,11,8,14,3,2,12,18,10,12
2020/04/07 22:00:00+00,,0,0,1,0,2,0,0,11,1,1,0,0,2,2,1,0,0,0,1,9,0,30,0,3,0,1,0,13,13,23,31,55,0,4,0,3,4,7,5,5,1,4,5,4,1,20,5,5,6,7,1,4,11,6,27,0,28,21,28,15,32,7,6,12,8,14,3,2,13,22,12,13
2020/04/08 22:00:00+00,,0,0,1,1,2,0,0,11,1,1,0,0,2,2,1,0,0,0,1,11,0,31,0,3,0,3,0,14,13,23,34,55,0,4,0,3,4,7,8,6,1,4,7,4,1,20,5,8,6,6,1,4,11,6,32,0,33,22,33,17,34,7,6,12,9,15,3,2,14,24,12,14
