Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2020/04/10 00:00:00+00,0,1,9,75,76,60,46,33,12,9,0,1,1,12,85,78,69,64,33,18,7,0,1,2,21,160,154,129,110,66,30,16,0,321,368,1,0,0,0,0,0,0,0,0,1,Past,,
2020/04/11 00:00:00+00,0,1,10,81,83,61,52,34,17,11,0,1,2,12,85,85,75,69,36,19,9,0,1,3,22,166,168,136,121,70,36,20,0,350,393,743,0,0,0,0,0,0,0,0,2,Past,,
2020/04/12 00:00:00+00,17,1,10,81,83,59,52,36,16,11,0,10,2,12,85,85,76,68,38,19,10,0,28,3,22,167,168,136,120,74,35,21,0,366,405,0,0.05,0.09,0.8,0.02,0.03,0.63,0.36,0.01,3,Past,,
2020/04/13 00:00:00+00,0,1,9,85,89,69,62,45,17,13,0,1,2,13,91,90,83,74,42,20,10,0,1,3,22,177,180,154,138,87,37,23,0,390,426,0,0.04,0.1,0.78,0.04,0.03,0.62,0.37,0.02,4,Past,,
2020/04/14 00:00:00+00,0,1,9,91,97,71,65,49,19,13,0,1,2,12,95,97,86,77,46,20,11,0,1,3,21,187,195,159,144,95,39,24,0,415,447,0,0.04,0.1,0.76,0.06,0.04,0.6,0.39,0.02,5,Past,,
2020/04/15 00:00:00+00,0,1,11,92,106,80,79,57,24,21,0,1,2,12,104,107,91,86,57,26,15,0,1,3,23,197,213,173,167,114,50,36,0,471,501,0,0.04,0.1,0.76,0.05,0.04,0.59,0.4,0.02,6,Past,,
2020/04/16 00:00:00+00,1,1,11,96,112,91,85,60,26,22,0,2,2,15,106,112,96,89,57,30,15,0,3,3,26,202,224,187,174,117,56,37,0,505,524,0,0.04,0.1,0.76,0.06,0.04,0.56,0.41,0.02,7,Past,,
2020/04/17 00:00:00+00,1,2,13,101,113,93,88,63,27,24,0,3,2,16,109,119,99,94,61,31,15,0,4,4,29,210,232,192,182,124,58,39,0,525,549,0,0.04,0.09,0.74,0.08,0.05,0.56,0.41,0.04,8,Past,,
2020/04/18 00:00:00+00,1,2,13,101,119,95,90,65,27,24,0,3,2,16,109,121,101,94,62,31,16,0,4,4,29,210,240,196,184,127,58,40,0,537,555,0,0.04,0.1,0.73,0.08,0.05,0.55,0.41,0.04,9,Past,,
2020/04/19 00:00:00+00,1,2,13,101,121,95,92,68,27,26,0,3,2,15,110,125,103,94,63,31,16,0,4,4,28,211,246,198,186,131,58,42,0,546,562,0,0.04,0.1,0.73,0.08,0.05,0.55,0.41,0.04,10,Past,,
2020/04/20 00:00:00+00,2,3,14,103,133,99,96,73,32,30,0,3,3,15,115,129,105,99,67,36,17,0,5,6,29,218,262,204,195,140,68,47,0,585,589,0,0.04,0.1,0.73,0.08,0.05,0.54,0.42,0.04,11,Past,,
2020/04/21 00:00:00+00,3,5,14,106,136,109,97,77,32,31,0,3,4,19,121,138,112,102,69,37,17,1,6,9,33,227,274,221,199,146,69,48,1,610,623,1,0.04,0.1,0.73,0.08,0.04,0.51,0.45,0.04,12,Past,,
2020/04/22 00:00:00+00,3,4,16,109,139,113,99,79,33,32,0,3,4,19,122,142,116,103,71,37,17,1,6,8,35,231,281,229,202,150,71,49,1,627,635,1,0.03,0.1,0.73,0.08,0.05,0.51,0.45,0.04,13,Past,,
