age_lo,age_hi,mean,lo,hi,study,region
0,19,0.2,0.1,0.3,salje,France
20,29,0.6,0.4,1,salje,France
30,39,1.3,0.8,2,salje,France
40,49,1.7,1,2.7,salje,France
50,59,3.5,2.1,5.4,salje,France
60,69,7.1,4.2,11,salje,France
70,79,11.3,6.7,17.5,salje,France
80,100,32,19,49.4,salje,France
0,9,0,0,0,verity,China
10,19,0.041,0.024,0.083,verity,China
20,29,1.04,0.62,2.13,verity,China
30,39,3.43,2.04,7,verity,China
40,49,4.25,2.53,8.68,verity,China
50,59,8.16,4.86,16.7,verity,China
60,69,11.8,7.01,24,verity,China
70,79,16.6,9.87,33.8,verity,China
80,100,18.4,11,37.6,verity,China
0,17,0.24663182856799987,0.16287188472310793,0.40859174873603765,fox,Texas
18,49,1.445456960196851,1.1282734570477913,1.9041195588551643,fox,Texas
50,64,5.574880188832234,3.9565065495421505,8.155253212343206,fox,Texas
65,100,21.117561565287374,14.54117147703801,33.03666387979881,fox,Texas
